Season,Points
93,84
94,92
95,88
96,82
97,75
98,77
99,79
00,91
01,80
02,77
03,83
04,75
05,77
06,83
07,89
08,87
09,90
10,85
11,80
12,89
13,89
14,64
15,70
16,66
17,69
18,81
19,66
20,66
