Season,Points
93,59
94,60
95,74
96,71
97,68
98,65
99,54
00,67
01,69
02,80
03,64
04,60
05,58
06,82
07,68
08,76
09,86
10,63
11,58
12,52
13,61
14,84
15,62
16,60
17,76
18,75
19,97
20,99
