Season,Points
93,56
94,51
95,54
96,50
97,59
98,63
99,75
00,65
01,61
02,64
03,67
04,79
05,95
06,91
07,83
08,85
09,83
10,86
11,71
12,64
13,75
14,82
15,87
16,50
17,93
18,70
19,72
20,66
